energy_kcal_value,energy_kj_value,carbohydrates_value,sugars_value,fat_value,saturated_fat_value,proteins_value,fiber_value,salt_value,sodium_value,nova_group,nutrition_score_fr,fruits_vegetables_nuts_estimate_from_ingredients_100g,product_code,product_name,brands,sugar_to_carb_ratio,calorie_category,sugar_category,is_ultra_processed
131.0,1189.0,22.0,1.2,2.2,0.4,4.3,3.4,0.3825,0.153,3.0,-1.0,0.3,5057967395088,Rye & Mixed Seed Sourdough Bread,Tesco,0.05454545454545454,Moderate Calories,Low Sugar,No
37.0,1189.0,9.0,7.0,0.0,0.0,0.0,2.5,0.05,0.02,4.0,12.0,11.6071428571429,90382383,Cappy pulpy,Coca-Cola Company,0.7777777777777778,Low Calories,Moderate Sugar,Yes
105.0,438.0,15.1,10.0,3.8,2.5,6.5,2.5,0.25,0.1,1.0,14.0,0.0,6111246953679,Missing,Jibal,0.0,Moderate Calories,Moderate Sugar,No
341.0,1434.0,49.0,13.0,12.0,7.4,8.1,2.5,1.12,0.448,4.0,19.0,0.0,3587220002252,La gâche tranchée,La Fournée Dorée,0.2653061224489796,High Calories,Moderate Sugar,Yes
610.0,2528.0,33.0,29.0,48.0,29.0,6.9,2.5,0.01,0.004,4.0,25.0,0.0,3046920029780,Excellence Noir Subtil Doux 70% Cacao,Lindt,0.8787878787878788,High Calories,High Sugar,Yes
111.0,1189.0,26.0,25.6,0.1,0.0,0.5,2.5,3.6,1.44,4.0,25.0,12.8,6111250472241,Bol Bol Ketchup,Bol&Bol,0.9846153846153847,Moderate Calories,High Sugar,Yes
281.0,1189.0,21.0,0.0,8.0,10.0,8.0,2.5,3.25,1.3,4.0,25.0,0.0,6111260230619,Tranches Au Goût Cheddar,Ideal,0.0,High Calories,Low Sugar,No
495.0,2035.0,0.0,0.0,55.0,20.0,0.0,2.5,0.45,0.18,4.0,13.0,11.225,3366321052386,st hubert bio & végétal,st hubert,0.0,High Calories,Low Sugar,Yes
519.0,1189.0,54.0,4.1,30.0,1.4,6.3,2.5,0.3725,0.149,4.0,7.0,0.0,5053990101597,Sour Cream & Onion,Pringles,0.0,High Calories,High Sugar,Yes
1.0,1189.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6111184003276,Assaisonnement aromatisé au citron,Star,0.0,Low Calories,Low Sugar,No
352.0,1485.0,59.0,14.0,5.8,0.9,11.0,10.0,0.03,0.012,3.0,-2.0,24.5,3229820129488,"Muesli Raisin, Figue, Abricot",Bjorg,0.23728813559322035,High Calories,Moderate Sugar,No
386.0,1634.0,78.9,75.1,3.6,1.6,5.1,7.7,0.41,0.164,4.0,9.0,0.0,7613039490266,Nesquik,Nestlé,0.9518377693282635,High Calories,High Sugar,Yes
69.0,292.0,6.5,3.5,0.5,0.1,9.8,0.5,18.3,7.32,4.0,7.0,0.0,3033710084913,Arome MAGGI,"Nestlé, Maggi",0.5384615384615384,Low Calories,Low Sugar,Yes
610.0,2529.0,13.0,6.2,48.0,5.8,28.0,7.0,0.05,0.02,1.0,-8.0,100.0,3327272107969,Menguy's Peanut 100%,Menguy's,0.47692307692307695,High Calories,Moderate Sugar,No
0.0,1189.0,0.0,0.0,0.0,0.0,0.0,2.5,0.3725,0.149,4.0,7.0,0.0,6111246250013,Levure rafiaa,Missing,0.0,Low Calories,Low Sugar,Yes
